Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
ZSZ,Service industries,2015Q2,2247,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q3,2222,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q4,2278,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q1,2231,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q2,2245,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q3,2320,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q4,2301,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q1,2340,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q2,2376,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q3,2399,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q4,2384,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q1,2448,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q2,2423,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q3,2341,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q4,2457,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q1,2426,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q2,2466,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q3,2480,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q4,2490,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q1,2390,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q2,1513,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q3,1741,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q4,1840,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q1,1782,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q2,1982,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q3,1718,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q4,1775,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2022Q1,1850,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2022Q2,1974,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2022Q3,2065,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q1,1447,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q2,1458,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q3,1506,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q4,1515,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q1,1579,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q2,1637,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q3,1607,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q4,1652,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q1,1606,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q2,1619,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q3,1687,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q4,1668,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q1,1701,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q2,1734,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q3,1783,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q4,1730,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q1,1840,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q2,1803,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q3,1752,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q4,1824,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q1,1769,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q2,1813,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q3,1788,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q4,1778,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2020Q1,1729,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2020Q2,927,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2020Q3,1065,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2020Q4,1145,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2021Q1,1138,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2021Q2,1309,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2021Q3,1063,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2021Q4,1109,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2022Q1,1157,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2022Q2,1272,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2022Q3,1389,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2014Q1,630,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2014Q2,623,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2014Q3,621,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2014Q4,626,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2015Q1,615,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2015Q2,612,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2015Q3,619,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2015Q4,620,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2016Q1,625,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2016Q2,628,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2016Q3,641,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2016Q4,622,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2017Q1,638,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2017Q2,644,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2017Q3,630,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2017Q4,639,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2018Q1,602,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2018Q2,625,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2018Q3,605,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2018Q4,611,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2019Q1,658,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2019Q2,660,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2019Q3,702,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2019Q4,691,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2020Q1,667,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2020Q2,579,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2020Q3,669,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2020Q4,686,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2021Q1,665,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2021Q2,672,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2021Q3,646,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2021Q4,658,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2022Q1,715,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2022Q2,701,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2022Q3,670,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2014Q1,18459,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2014Q2,18646,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2014Q3,18752,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2014Q4,18932,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2015Q1,18838,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2015Q2,18531,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2015Q3,18542,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2015Q4,18481,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2016Q1,18245,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2016Q2,18163,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2016Q3,18242,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2016Q4,17763,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2017Q1,17945,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2017Q2,18445,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2017Q3,18577,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2017Q4,18659,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2018Q1,18227,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2018Q2,18309,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2018Q3,18594,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2018Q4,18817,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2019Q1,19129,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2019Q2,18920,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2019Q3,18794,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2019Q4,18772,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2020Q1,18516,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2020Q2,17213,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2020Q3,18250,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2020Q4,18023,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2021Q1,18150,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2021Q2,18853,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2021Q3,17203,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2021Q4,17310,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2022Q1,17573,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2022Q2,17629,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2022Q3,16911,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2014Q1,1969,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2014Q2,2007,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2014Q3,2047,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2014Q4,2020,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2015Q1,2074,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2015Q2,2095,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2015Q3,2114,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2015Q4,2125,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2016Q1,2121,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2016Q2,2111,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2016Q3,2161,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2016Q4,2168,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2017Q1,2238,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2017Q2,2259,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2017Q3,2231,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2017Q4,2213,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2018Q1,2226,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2018Q2,2230,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2018Q3,2226,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2018Q4,2277,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2019Q1,2240,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2019Q2,2228,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2019Q3,2218,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2019Q4,2173,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2020Q1,2126,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2020Q2,1540,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2020Q3,2095,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2020Q4,2160,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2021Q1,2135,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2021Q2,2143,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2021Q3,1838,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2021Q4,1967,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2022Q1,2041,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2022Q2,2024,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2022Q3,2086,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2014Q1,1749,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2014Q2,1790,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2014Q3,1828,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2014Q4,1797,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2015Q1,1856,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2015Q2,1863,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2015Q3,1873,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2015Q4,1897,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2016Q1,1899,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2016Q2,1891,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2016Q3,1936,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2016Q4,1933,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2017Q1,1989,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2017Q2,2023,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2017Q3,1996,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2017Q4,1991,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2018Q1,1987,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2018Q2,1989,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2018Q3,1997,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2018Q4,2042,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2019Q1,2015,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2019Q2,1989,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2019Q3,1984,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2019Q4,1931,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2020Q1,1885,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2020Q2,1311,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2020Q3,1860,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2020Q4,1926,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2021Q1,1906,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2021Q2,1912,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2021Q3,1606,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2021Q4,1737,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2022Q1,1818,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2022Q2,1810,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2022Q3,1871,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2014Q1,160,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2014Q2,156,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2014Q3,156,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2014Q4,161,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2015Q1,155,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2015Q2,165,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2015Q3,170,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2015Q4,164,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2016Q1,153,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2016Q2,154,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2016Q3,160,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2016Q4,166,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2017Q1,181,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2017Q2,170,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2017Q3,167,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2017Q4,155,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2018Q1,173,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2018Q2,173,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2018Q3,163,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2018Q4,166,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2019Q1,158,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2019Q2,173,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2019Q3,168,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2019Q4,177,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2020Q1,178,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2020Q2,168,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2020Q3,173,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2020Q4,172,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2021Q1,168,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2021Q2,171,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2021Q3,172,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2021Q4,170,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2022Q1,164,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2022Q2,155,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2022Q3,156,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2014Q1,60,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2014Q2,61,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2014Q3,62,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2014Q4,62,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2015Q1,63,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2015Q2,67,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2015Q3,70,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2015Q4,64,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2016Q1,69,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2016Q2,66,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2016Q3,65,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2016Q4,68,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2017Q1,68,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2017Q2,66,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2017Q3,68,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2017Q4,67,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2018Q1,66,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2018Q2,68,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
